date,index_open,index_high,index_low,index_close,margin_balance_thousand_ntd,margin_previous_balance_thousand_ntd,index_yoy,index_qoq,margin_roc,margin_roc_autocorr,autocorr_high_threshold,is_autocorr_high,index_yoy_z,index_qoq_z,margin_roc_z,margin_roc_autocorr_z,margin_roc_autocorr_percentile_full_sample,margin_roc_autocorr_percentile,margin_roc_autocorr_rank_252,margin_roc_persistence_score,margin_roc_autocorr_plot,index_yoy_z_plot,index_qoq_z_plot,margin_roc_z_plot,margin_roc_autocorr_bar,index_yoy_ref,index_qoq_ref,margin_roc_ref,autocorr_bar,index_close_return_20d,index_qoq_change_20d,margin_roc_change_20d,raw_signal,transition_watch,final_signal,final_signal_reason,leverage_cycle_phase,signal
2012-01-02,7071.35,7073.48,6948.67,6952.21,195163168.0,195819079.0,,,,,0.9958182015461547,False,,,,,,,,,,,,,,,,,,,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-01-03,7005.39,7073.79,7005.39,7053.38,193922485.0,195163167.0,,,,,0.9958182015461547,False,,,,,,,,,,,,,,,,,,,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-01-04,7093.07,7116.22,7064.58,7082.97,192726370.0,193922146.0,,,,,0.9958182015461547,False,,,,,,,,,,,,,,,,,,,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-01-05,7099.35,7130.86,7073.32,7130.86,192080907.0,192726383.0,,,,,0.9958182015461547,False,,,,,,,,,,,,,,,,,,,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-01-06,7129.53,7139.04,7090.47,7120.51,191644413.0,192080549.0,,,,,0.9958182015461547,False,,,,,,,,,,,,,,,,,,,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-01-09,7103.09,7103.09,7050.25,7093.04,190919224.0,191644379.0,,,,,0.9958182015461547,False,,,,,,,,,,,,,,,,,,,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-01-10,7128.86,7181.74,7128.86,7178.87,189821251.0,190919452.0,,,,,0.9958182015461547,False,,,,,,,,,,,,,,,,,,,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-01-11,7203.1,7212.36,7184.38,7188.21,188120166.0,189821056.0,,,,,0.9958182015461547,False,,,,,,,,,,,,,,,,,,,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-01-12,7202.38,7209.74,7173.87,7186.58,185605449.0,188119330.0,,,,,0.9958182015461547,False,,,,,,,,,,,,,,,,,,,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-01-13,7226.24,7249.94,7169.92,7181.54,181010452.0,185606349.0,,,,,0.9958182015461547,False,,,,,,,,,,,,,,,,,,,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-01-16,7241.92,7258.84,7091.35,7103.62,181334240.0,181009712.0,,,,,0.9958182015461547,False,,,,,,,,,,,,,,,,,,,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-01-17,7144.2,7221.08,7118.36,7221.08,180180968.0,181333828.0,,,,,0.9958182015461547,False,,,,,,,,,,,,,,,,,,,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-01-18,7235.54,7245.13,7194.55,7233.69,175799151.0,180181045.0,,,,,0.9958182015461547,False,,,,,,,,,,,,,,,,,,,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-01-30,7382.72,7443.03,7382.72,7407.41,175873844.0,175421549.0,,,,,0.9958182015461547,False,,,,,,,,,,,,,,,,,,,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-01-31,7436.52,7517.08,7421.01,7517.08,178833064.0,175871856.0,,,,,0.9958182015461547,False,,,,,,,,,,,,,,,,,,,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-02-01,7520.36,7566.08,7488.97,7549.21,181612975.0,178873551.0,,,,,0.9958182015461547,False,,,,,,,,,,,,,,,,,,,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-02-02,7613.79,7652.46,7578.76,7652.46,183669997.0,181613299.0,,,,,0.9958182015461547,False,,,,,,,,,,,,,,,,,,,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-02-03,7658.68,7674.99,7608.41,7674.99,186824849.0,183670206.0,,,,,0.9958182015461547,False,,,,,,,,,,,,,,,,,,,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-02-04,7731.55,7787.89,7727.29,7741.24,190184831.0,186825905.0,,,,,0.9958182015461547,False,,,,,,,,,,,,,,,,,,,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-02-06,7752.28,7752.28,7677.56,7687.98,190919260.0,190184828.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-02-07,7680.36,7751.76,7673.91,7707.44,191892928.0,190919248.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.10863164375069223,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-02-08,7766.38,7869.91,7766.38,7869.91,194324605.0,191893366.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.1157643569465987,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-02-09,7863.36,7910.78,7840.38,7910.78,196372872.0,194324605.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.11687328902988425,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-02-10,7922.61,7941.63,7848.78,7862.27,198961842.0,196372581.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.1025696760278565,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-02-13,7849.21,7917.96,7837.58,7912.91,202987018.0,198965981.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.11128416363434646,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-02-14,7937.28,7937.28,7829.76,7884.08,202814057.0,202987018.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.11152340886277257,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-02-15,7919.41,8011.87,7902.08,8005.24,205027280.0,202813999.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.11511143118624512,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-02-16,7983.75,8010.5,7851.62,7869.7,203604634.0,205026440.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.09480663475329743,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-02-17,7956.91,8013.46,7862.11,7894.36,204424545.0,203603232.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.09848634538264367,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-02-20,7959.99,7985.5,7913.65,7954.82,206107911.0,204424545.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.10767606947813424,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-02-21,7953.06,7973.47,7870.26,7921.5,207162607.0,206107911.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.11513566322522895,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-02-22,7908.38,8018.54,7897.65,8001.68,208817609.0,207162595.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.1081001733812672,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-02-23,7981.92,7991.92,7935.42,7937.3,209477682.0,208806440.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.09726847570188935,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-02-24,7971.62,7974.58,7899.62,7959.34,208655208.0,209478024.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.07451052392131663,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-02-29,8046.14,8121.44,8046.14,8121.44,208132560.0,208655285.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.08039823974202753,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-01,8127.57,8151.7,8103.75,8118.34,209193793.0,208143073.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.07538934537521147,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-02,8161.87,8170.72,8114.14,8144.04,211399904.0,209193772.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.06423816655036418,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-03,8119.94,8134.94,8087.2,8114.44,212602665.0,211398151.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.057257403592708256,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-05,8105.27,8115.49,7998.96,8004.74,212983220.0,212603340.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.034038474456288714,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-06,8006.85,8028.02,7860.87,7937.97,212484996.0,212983220.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.03251699406085873,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-07,7846.49,7937.11,7824.45,7903.08,212823124.0,212484986.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.025383266039048058,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-08,7952.94,8000.93,7905.5,7984.56,213248889.0,212823119.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.014568146268508775,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-09,8012.59,8027.08,7965.68,8016.01,213979259.0,213248225.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.01330210168908752,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-12,8028.87,8028.87,7927.55,7927.55,213652026.0,213979150.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.00830294558696143,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-13,7990.6,8045.61,7974.38,8031.51,213478562.0,213651225.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.014988164910254342,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-14,8132.96,8170.31,8113.76,8125.26,212422152.0,213478094.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.030590760114052706,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-15,8141.93,8142.98,8088.1,8121.62,213539524.0,212451959.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.014537977624655918,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-16,8130.28,8130.52,8054.94,8054.94,213914306.0,213509658.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.02353838138683817,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-19,8113.46,8123.15,7997.05,8043.92,214379876.0,213912510.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.01894517098282833,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-20,8062.91,8062.91,7965.96,7972.7,214288882.0,214379778.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.0022476938510236355,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-21,7993.46,8013.67,7940.19,7981.94,214157720.0,214288497.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.007629868080540225,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-22,7997.66,8075.97,7995.57,8059.94,214091341.0,214157661.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.007280970996090819,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-23,8067.93,8076.61,8030.88,8076.61,214431458.0,214091309.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.017551308379423647,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-26,8073.93,8073.93,7958.72,7967.62,215482768.0,214431338.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,0.0010402872599988289,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-27,8033.22,8033.22,7978.74,8029.46,213631212.0,215482518.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,-0.011325577730057712,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-28,8074.64,8085.43,8013.8,8038.07,213569684.0,213631212.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,-0.009887489314318043,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-29,7997.87,7997.87,7808.55,7872.66,207941606.0,213569684.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,-0.033322527885423,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-03-30,7832.22,7933.0,7775.75,7933.0,207443414.0,207939826.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,-0.02236013822272387,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-04-02,7905.88,7928.43,7859.56,7862.9,207058436.0,207441653.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,-0.017719501195541665,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-04-03,7896.72,7907.62,7723.39,7760.85,202439925.0,207065164.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,-0.022313009497390346,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
2012-04-05,7603.31,7667.04,7528.03,7639.82,200268896.0,202439890.0,,,,,0.9958182015461547,False,,,,,,,,0.0,,,,,,,,,,-0.03331106353472324,,,NORMAL,none,NORMAL,raw_signal=NORMAL,normal,NORMAL
